id,name,close_approach_date,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,relative_velocity_km_per_h,miss_distance_km
2280491,280491 (2004 MO7),2025-04-30,0.4174024334,0.933340215,False,84564.3918417372,30896351.630393423
3277704,(2005 JR5),2025-04-30,0.1010543415,0.2259643771,False,78443.5345964111,56074469.954528406
3550073,(2010 UJ7),2025-04-30,0.022108281,0.0494356193,False,62969.8562945834,66614387.72082075
3719999,(2015 KR120),2025-04-30,0.0676947481,0.1513700585,False,59474.4944348646,41114716.83844596
3802425,(2018 GN1),2025-04-30,0.0088014652,0.0196806745,False,53676.9692186454,30005556.8717612
3805268,(2018 HS),2025-04-30,0.0253837029,0.0567596853,False,80682.7405568519,34723968.73108801
3884012,(2019 UT8),2025-04-30,0.0096506147,0.0215794305,False,63412.0794787666,72709123.57573166
54276734,(2022 HE3),2025-04-30,0.0229379698,0.0512908597,False,65184.9195783766,35614251.64060803
54308049,(2022 SJ11),2025-04-30,0.0139493823,0.0311917671,False,93477.0789791273,53347319.48416215
54319454,(2022 UD7),2025-04-30,0.0177237239,0.0396314515,False,40108.9152026268,32641107.638819657
54392657,(2023 TB7),2025-04-30,0.0206326484,0.0461360043,False,34894.7086181439,29933439.284103718
54457673,(2024 NH),2025-04-30,0.0220067027,0.0492084832,False,17193.8975298191,31990061.64300364
54468531,(2024 RN3),2025-04-30,0.0135692229,0.0303417048,False,30085.9083883513,67076760.31452086
54524051,(2025 FX),2025-04-30,0.0421264611,0.0941976306,False,33018.5386641677,13467363.418581614
54527648,(2025 HM4),2025-04-30,0.0152670447,0.0341381497,False,68215.1529624948,766787.234912507
3373919,(2007 GW4),2025-05-01,0.2016299194,0.4508582062,False,61267.7600566132,70447281.39270662
54110077,(2021 CR1),2025-05-01,0.0253837029,0.0567596853,False,48556.4037169165,69098808.07745978
54138303,(2021 GT16),2025-05-01,0.0088014652,0.0196806745,False,52254.7987041166,31464966.07324396
54144240,(2021 JZ2),2025-05-01,0.0695913044,0.1556108872,False,70195.5890191685,60630567.42179523
54421069,(2024 BF),2025-05-01,0.0340843469,0.0762149166,False,16418.9885488361,3635453.475553072
54527149,(2025 GT1),2025-05-01,0.0275648083,0.0616367852,False,39872.4568238696,4308715.60777195
54527284,(2025 HE1),2025-05-01,0.0339902983,0.0760046177,False,36345.097319962,12763105.385607662
54527292,(2025 HN1),2025-05-01,0.0220777584,0.0493673686,False,22590.0357195351,13413760.542028518
54527390,(2025 HF2),2025-05-01,0.0328061281,0.0733567325,False,48118.7699640986,20303609.285426445
54527597,(2025 HP3),2025-05-01,0.047880092,0.1070631406,False,23854.3259875558,28450378.1507412
3485809,(2010 AO60),2025-05-03,0.1187284988,0.2654849942,False,59644.5201948874,51908028.38375444
3634275,(2013 GF23),2025-05-03,0.0483676488,0.1081533507,False,58251.5842446565,62423130.70577331
3774574,(2017 JJ2),2025-05-03,0.0253837029,0.0567596853,False,82611.3608524008,35156445.67148754
54073370,(2020 UX),2025-05-03,0.0015723708,0.003515928,False,26192.4704458952,61954138.84015952
54135427,(2021 GP3),2025-05-03,0.0400456158,0.0895447192,False,75509.0699829246,66218775.420576185
54142841,(2021 JO),2025-05-03,0.1254743564,0.2805691903,False,132900.3214579652,69017178.90762982
